Prefix,Network
817,Globe
905,Globe/TM
906,Globe/TM
907,TNT
908,Smart
909,TNT
910,TNT
912,TNT
915,Globe/TM
916,Globe/TM
917,Globe/TM
918,Smart
919,Smart
920,Smart
921,Smart
922,Sun
923,Sun
924,Sun
925,Sun
926,Globe/TM
927,Globe/TM
928,Smart
929,Smart
930,TNT
931,Sun
932,Sun
933,Sun
934,Sun
935,Globe/TM
936,Globe/TM
937,Globe/TM
938,TNT
939,Smart
940,Sun
941,Sun
942,Sun
943,Sun
945,Globe/TM
946,TNT
947,Smart
948,TNT
949,Smart
950,TNT
951,Smart
953,Globe/TM
954,Globe/TM
955,Globe/TM
956,Globe/TM
961,Smart
965,Globe/TM
966,Globe/TM
967,Globe/TM
973,Sun
974,Sun
975,Globe/TM
977,Globe/TM
978,Globe/TM
979,Globe/TM
995,Globe/TM
996,Globe/TM
997,Globe/TM
998,Smart
999,Smart
9173,Globe PostPaid
9175,Globe PostPaid
9176,Globe PostPaid
9178,Globe PostPaid
9253,Globe PostPaid
9255,Globe PostPaid
9256,Globe PostPaid
9257,Globe PostPaid
9258,Globe PostPaid
